movieId,no_of_votes,avg_rating,weighted_avg
318,91082,4.429014514393623,3866.3230799691755
356,91921,4.052925882007376,3583.7705271093923
296,87901,4.169975313136369,3522.107094031041
593,84078,4.15224553390899,3355.331488476263
2571,77960,4.154098255515649,3112.7561417706115
260,77045,4.132299305600623,3060.7775988894714
527,67662,4.266530696698294,2772.076591636214
480,74355,3.6602380472059712,2628.8750071299037
110,66512,4.016057252826558,2571.4184530693487
1,66008,3.8881574960610834,2473.8364336202644
1196,61672,4.142536321183033,2456.5496296963042
50,59271,4.300188962561792,2447.0646848688816
2959,60024,4.2307160469145675,2439.754025300719
1210,62714,3.9896115699843735,2409.4455710781504
858,57070,4.339810758717364,2377.0965965137525
1198,59693,4.134613773809324,2373.4693016895676
589,61836,3.9389999353127627,2346.807350342456
2858,57879,4.1307037094628445,2299.3584073289767
4993,56827,4.104167033276435,2243.7171891570215
457,56820,3.982462161210841,2179.562825547128
150,57416,3.884030583809391,2150.07357512221
608,52474,4.105347410145977,2072.677479143658
1270,54783,3.9225489659200847,2071.1752278711097
47,52658,4.068128299593604,2061.8446064266727
7153,51837,4.109477786137315,2049.5329875129596
5952,51882,4.07977718669288,2037.089382456363
32,53398,3.888769242293719,2002.1924463299533
2028,50809,4.053710956720266,1982.8010662805789
2762,49643,4.021281953145459,1922.5037923058296
780,57232,3.397041864691082,1883.7319281369948
590,51338,3.740689158128482,1854.550134539582
588,50375,3.6875235732009926,1794.929636872323
592,53717,3.3848223095109558,1762.1088373111877
3578,45413,3.9548147006363816,1731.067575404321
380,50168,3.501833838303301,1700.7699526410806
364,45303,3.8046486987616714,1663.8446466559496
1193,40103,4.22913497743311,1630.5787155600322
4226,40706,4.1570775807006335,1628.0296353750234
1197,40931,4.131257482104028,1627.2665204735242
4306,43660,3.786280348144755,1596.1821589494646
58559,39600,4.182070707070707,1593.0073947375708
1136,39058,4.155153873726253,1561.5627550473448
377,45544,3.4874077814860356,1538.1901281318412
1704,39227,4.068090855788105,1536.7996829792994
1291,39725,3.9829955947136564,1525.0311661871176
1240,40250,3.8920124223602484,1511.2452379606063
1221,36679,4.263475012950189,1503.2379173624208
541,37152,4.12244293712317,1474.3200860945672
595,41283,3.677421699004433,1467.704409907189
1580,42193,3.5733178489322874,1459.0805061961617
648,44121,3.400149588631264,1454.2610395988172
1214,37286,4.047350211875771,1453.7833854241806
1265,38672,3.8798484691766655,1447.7717406380434
1036,38049,3.9297090593708113,1442.0737861376963
79132,35297,4.161755956596878,1413.6696111074948
